subject,dimension,round,sample_a,sample_b,rating
S01,Quality,1,A,B,0
S01,Quality,1,A,C,0
S01,Quality,1,B,C,0
S01,Quality,2,A,B,0
S01,Quality,2,A,C,0
S01,Quality,2,B,C,0
S01,Clarity,1,A,B,0
S01,Clarity,1,A,C,0
S01,Clarity,1,B,C,0
S01,Clarity,2,A,B,0
S01,Clarity,2,A,C,0
S01,Clarity,2,B,C,0
S01,Naturalness,1,A,B,0
S01,Naturalness,1,A,C,0
S01,Naturalness,1,B,C,0
S01,Naturalness,2,A,B,0
S01,Naturalness,2,A,C,0
S01,Naturalness,2,B,C,0
S02,Quality,1,A,B,0
S02,Quality,1,A,C,0
S02,Quality,1,B,C,0
S02,Quality,2,A,B,0
S02,Quality,2,A,C,0
S02,Quality,2,B,C,0
S02,Clarity,1,A,B,0
S02,Clarity,1,A,C,0
S02,Clarity,1,B,C,0
S02,Clarity,2,A,B,0
S02,Clarity,2,A,C,0
S02,Clarity,2,B,C,0
S02,Naturalness,1,A,B,0
S02,Naturalness,1,A,C,0
S02,Naturalness,1,B,C,0
S02,Naturalness,2,A,B,0
S02,Naturalness,2,A,C,0
S02,Naturalness,2,B,C,0
S03,Quality,1,A,B,0
S03,Quality,1,A,C,0
S03,Quality,1,B,C,0
S03,Quality,2,A,B,0
S03,Quality,2,A,C,0
S03,Quality,2,B,C,0
S03,Clarity,1,A,B,0
S03,Clarity,1,A,C,0
S03,Clarity,1,B,C,0
S03,Clarity,2,A,B,0
S03,Clarity,2,A,C,0
S03,Clarity,2,B,C,0
S03,Naturalness,1,A,B,0
S03,Naturalness,1,A,C,0
S03,Naturalness,1,B,C,0
S03,Naturalness,2,A,B,0
S03,Naturalness,2,A,C,0
S03,Naturalness,2,B,C,0
S04,Quality,1,A,B,0
S04,Quality,1,A,C,0
S04,Quality,1,B,C,0
S04,Quality,2,A,B,0
S04,Quality,2,A,C,0
S04,Quality,2,B,C,0
S04,Clarity,1,A,B,0
S04,Clarity,1,A,C,0
S04,Clarity,1,B,C,0
S04,Clarity,2,A,B,0
S04,Clarity,2,A,C,0
S04,Clarity,2,B,C,0
S04,Naturalness,1,A,B,0
S04,Naturalness,1,A,C,0
S04,Naturalness,1,B,C,0
S04,Naturalness,2,A,B,0
S04,Naturalness,2,A,C,0
S04,Naturalness,2,B,C,0
S05,Quality,1,A,B,0
S05,Quality,1,A,C,0
S05,Quality,1,B,C,0
S05,Quality,2,A,B,0
S05,Quality,2,A,C,0
S05,Quality,2,B,C,0
S05,Clarity,1,A,B,0
S05,Clarity,1,A,C,0
S05,Clarity,1,B,C,0
S05,Clarity,2,A,B,0
S05,Clarity,2,A,C,0
S05,Clarity,2,B,C,0
S05,Naturalness,1,A,B,0
S05,Naturalness,1,A,C,0
S05,Naturalness,1,B,C,0
S05,Naturalness,2,A,B,0
S05,Naturalness,2,A,C,0
S05,Naturalness,2,B,C,0
S06,Quality,1,A,B,0
S06,Quality,1,A,C,0
S06,Quality,1,B,C,0
S06,Quality,2,A,B,0
S06,Quality,2,A,C,0
S06,Quality,2,B,C,0
S06,Clarity,1,A,B,0
S06,Clarity,1,A,C,0
S06,Clarity,1,B,C,0
S06,Clarity,2,A,B,0
S06,Clarity,2,A,C,0
S06,Clarity,2,B,C,0
S06,Naturalness,1,A,B,0
S06,Naturalness,1,A,C,0
S06,Naturalness,1,B,C,0
S06,Naturalness,2,A,B,0
S06,Naturalness,2,A,C,0
S06,Naturalness,2,B,C,0
S07,Quality,1,A,B,0
S07,Quality,1,A,C,0
S07,Quality,1,B,C,0
S07,Quality,2,A,B,0
S07,Quality,2,A,C,0
S07,Quality,2,B,C,0
S07,Clarity,1,A,B,0
S07,Clarity,1,A,C,0
S07,Clarity,1,B,C,0
S07,Clarity,2,A,B,0
S07,Clarity,2,A,C,0
S07,Clarity,2,B,C,0
S07,Naturalness,1,A,B,0
S07,Naturalness,1,A,C,0
S07,Naturalness,1,B,C,0
S07,Naturalness,2,A,B,0
S07,Naturalness,2,A,C,0
S07,Naturalness,2,B,C,0
S08,Quality,1,A,B,0
S08,Quality,1,A,C,0
S08,Quality,1,B,C,0
S08,Quality,2,A,B,0
S08,Quality,2,A,C,0
S08,Quality,2,B,C,0
S08,Clarity,1,A,B,0
S08,Clarity,1,A,C,0
S08,Clarity,1,B,C,0
S08,Clarity,2,A,B,0
S08,Clarity,2,A,C,0
S08,Clarity,2,B,C,0
S08,Naturalness,1,A,B,0
S08,Naturalness,1,A,C,0
S08,Naturalness,1,B,C,0
S08,Naturalness,2,A,B,0
S08,Naturalness,2,A,C,0
S08,Naturalness,2,B,C,0
S09,Quality,1,A,B,0
S09,Quality,1,A,C,0
S09,Quality,1,B,C,0
S09,Quality,2,A,B,0
S09,Quality,2,A,C,0
S09,Quality,2,B,C,0
S09,Clarity,1,A,B,0
S09,Clarity,1,A,C,0
S09,Clarity,1,B,C,0
S09,Clarity,2,A,B,0
S09,Clarity,2,A,C,0
S09,Clarity,2,B,C,0
S09,Naturalness,1,A,B,0
S09,Naturalness,1,A,C,0
S09,Naturalness,1,B,C,0
S09,Naturalness,2,A,B,0
S09,Naturalness,2,A,C,0
S09,Naturalness,2,B,C,0
S10,Quality,1,A,B,0
S10,Quality,1,A,C,0
S10,Quality,1,B,C,0
S10,Quality,2,A,B,0
S10,Quality,2,A,C,0
S10,Quality,2,B,C,0
S10,Clarity,1,A,B,0
S10,Clarity,1,A,C,0
S10,Clarity,1,B,C,0
S10,Clarity,2,A,B,0
S10,Clarity,2,A,C,0
S10,Clarity,2,B,C,0
S10,Naturalness,1,A,B,0
S10,Naturalness,1,A,C,0
S10,Naturalness,1,B,C,0
S10,Naturalness,2,A,B,0
S10,Naturalness,2,A,C,0
S10,Naturalness,2,B,C,0
