subject,sample_a,sample_b,rating
S01,A,B,2
S01,A,C,3
S01,A,D,3
S01,B,C,1
S01,B,D,2
S01,C,D,1
S02,A,B,1
S02,A,C,2
S02,A,D,2
S02,B,C,1
S02,B,D,2
S02,C,D,1
S03,A,B,1
S03,A,C,2
S03,A,D,3
S03,B,C,1
S03,B,D,2
S03,C,D,1
S04,A,B,2
S04,A,C,1
S04,A,D,2
S04,B,C,2
S04,B,D,1
S04,C,D,1
S05,A,B,1
S05,A,C,1
S05,A,D,2
S05,B,C,1
S05,B,D,1
S05,C,D,1
S06,A,B,2
S06,A,C,-1
S06,A,D,1
S06,B,C,2
S06,B,D,1
S06,C,D,1
S07,A,B,1
S07,A,C,2
S07,A,D,1
S07,B,C,1
S07,B,D,-2
S07,C,D,1
S08,A,B,-1
S08,A,C,2
S08,A,D,-1
S08,B,C,-1
S08,B,D,2
S08,C,D,-2
S09,A,B,1
S09,A,C,-1
S09,A,D,2
S09,B,C,1
S09,B,D,-1
S09,C,D,1
S10,A,B,-2
S10,A,C,-1
S10,A,D,-2
S10,B,C,-2
S10,B,D,1
S10,C,D,-1
